Name                             , Type       , Building                    , Floor, Location Description                                     , Address                                                                           , Latitude   , Longitude  , StartingTime, ClosingTime, ImageURL
Anna's x Soup Union              , Food       , Central Library             ,     1, Next to NUS Co-op                                        , "12 Kent Ridge Crescent, #01-03, Singapore 119275"                                , 1.296444   , 103.773032 , 0900hrs     , 1800hrs    , /images/ANNA.jpeg
NUS Co-op                        , Shopping   , Central Library             ,     1, Inside the library on the right side                     , "12 Kent Ridge Crescent, CLB01-02, Singapore 119275"                              , 1.2967866  , 103.7732677, 0900hrs     , 1600hrs    , /images/NUS_COOP.jpeg
Printer @ Com 2                  , Printing   , Com 2                       ,     1, Next to LT19                                             , "15 Computing Drive, Singapore 117418"                                            , 1.2938347  , 103.7744572, 0000hrs     , 2359hrs    , /images/PRINTER_COM2.jpeg
Cool Spot                        , Food       , Com2                        ,     1, Opp LT16                                                 , "15 Computing Drive, Singapore 117418"                                            , 1.2940156  , 103.7738478, 0900hrs     , 2130hrs    , /images/COOL_SPOT.jpeg
InstaChef                        , Food       , Terrace                     ,     1, Next to foyer                                            , "15 Computing Dr Singapore 117418"                                                , 1.2938898  , 103.7736305, 0000hrs     , 2359hrs    , /images/INSTACHEF.jpeg
Cafe+ Robot Cafe                 , Food/Coffee, Central Library             ,     1, Opp to central library entrance                          , "12 Kent Ridge Crescent, Singapore 119275"                                        , 1.296444   , 103.773032 , 0000hrs     , 2359hrs    , /images/ROBOT_CAFE.jpeg
A Hot Hideout                    , Food       , Prince George's Park        ,     2, Near PGP entrance                                        , "27 Prince George's Park, #02-01, Singapore 118425"                               , 1.2908445  , 103.7770891, 1100hrs     , 2130hrs    , /images/LocationImagePlaceholder.jpg
Arise and Shine                  , Food       , Engineering Block E4        ,     4, Near LT6                                                 , "4 Engineering Drive 3, Singapore 117583"                                         , 1.2991517  , 103.769064 , 0800hrs     , 1800hrs    , /images/LocationImagePlaceholder.jpg
Bakehaus / Aurea                 , Food       , The Ridge                   ,     1, Near COM2                                                , "17 Computing Drive, Singapore 119881"                                            , 1.2946778  , 103.7707872, 0800hrs     , 2100hrs    , /images/LocationImagePlaceholder.jpg
Central Square @ YIH             , Food       , Yusof Ishak House           ,     1, Closest to Opp UHC bus stop                              , "31 Lower Kent Ridge Road, Singapore 119078"                                      , 1.2984401  , 103.7726256, 0800hrs     , 2000hrs    , /images/LocationImagePlaceholder.jpg
Pasta Express                    , Food       , Frontier                    ,     1, Aircon section                                           , "6 Science Drive 2, Singapore 117546"                                             , 1.2947819  , 103.7704435, 0930hrs     , 1930hrs    , /images/LocationImagePlaceholder.jpg
TOMORO COFFEE                    , Food/Coffee, Hon Sui Sen Memorial Library,     2, Inside HSSML                                             , "1 Hon Sui Sen Drive Level 2, Hon Sui Sen Memorial Library, NUS, Singapore 117588", 1.2931259  , 103.7719943, 0815hrs     , 1800hrs    , /images/LocationImagePlaceholder.jpg
Octobox                          , Shopping   , Prince George�s Park        ,     2, Near PGP entrance                                        , "27 Prince George's Park, #02-02, Singapore 118425"                               , 1.2904347  , 103.7787588, 0000hrs     , 2359hrs    , /images/LocationImagePlaceholder.jpg
Smooy                            , Food       , COM3                        ,     1, The Terrace @ COM3                                       , "11 Research Link, #01-01, Singapore 119391"                                      , 1.2948308  , 103.7716305, 1100hrs     , 2100hrs    , /images/LocationImagePlaceholder.jpg
Goh Bros E-Print Pte Ltd         , Printing   , Yusof Ishak House           ,     5, Take the long staircase up YIH                           , "31 Lower Kent Ridge Road, #05-01, Singapore 119078"                              , 1.2984905  , 103.7720544, 0900hrs     , 1800hrs    , /images/LocationImagePlaceholder.jpg
Cheers Unmanned Convenience Store, Shopping   , Engineering Block E3        ,     4, Take right from Arise n Shine                            , "2 Engineering Drive 3, #06-28, Singapore 117581"                                 , 1.2994341  , 103.7526298, 0000hrs     , 2359hrs    , /images/LocationImagePlaceholder.jpg
Nami                             , Food       , innovation4.0               ,     1, Opp TCOMS                                                , "3 Research Link, #01-01, Singapore 117602"                                       , 1.2942982  , 103.7708813, 0800hrs     , 1730hrs    , /images/LocationImagePlaceholder.jpg
Supersnacks                      , Food       , Prince George�s Park        ,     1, "At level 1 in Prince George's Park Residences, Block 10", "2 College Avenue West, #01-07, Singapore 138607"                                 , 1.2913847  , 103.7776367, 1100hrs     , 0200hrs    , /images/LocationImagePlaceholder.jpg
Good Day Cafe                    , Food/Coffee, Medicine+Science Library    ,     1, Inside MedScience library                                , "11 Lower Kent Ridge Road, Singapore 119083"                                      , 1.2967989  , 103.7794336, 0730hrs     , 1830hrs    , /images/LocationImagePlaceholder.jpg
The Coffee Roaster               , Food/Coffee, Blk AS8                     ,     1, Behind central library bus stop                          , "10 Kent Ridge Crescent, #01-02 Block AS8, Singapore 119260"                      , 1.296252229, 103.7720926, 0800hrs     , 1730hrs    , /images/LocationImagePlaceholder.jpg
he by He Brews                   , Food/Coffee, Engineering Block EA        ,     1, Near LT7 & Engineering Auditorium                        , "9 Engineering Drive 1, Singapore 117575"                                         , 1.300566804, 103.7707577, 0800hrs     , 1700hrs    , /images/LocationImagePlaceholder.jpg
